epoch,step,train_loss_epoch,train_loss_step
0,132,,7.152275085449219
0,132,6.637208938598633,
1,265,,1.7565289735794067
1,265,4.4653120040893555,
2,398,,1.8283863067626953
2,398,1.8477766513824463,
3,531,,1.3286216259002686
3,531,1.6917543411254883,
4,664,,1.5488533973693848
4,664,1.5474588871002197,
5,797,,1.192908763885498
5,797,1.4075500965118408,
6,930,,1.088965654373169
6,930,1.2581062316894531,
7,1063,,1.0950286388397217
7,1063,1.1300450563430786,
8,1196,,1.0390489101409912
8,1196,1.0734977722167969,
9,1329,,0.8891522288322449
9,1329,1.0232948064804077,
10,1462,,0.984257161617279
10,1462,1.0070302486419678,
11,1595,,0.913780927658081
11,1595,0.9720088243484497,
12,1728,,0.8906326293945312
12,1728,0.9598985910415649,
13,1861,,1.0749638080596924
13,1861,0.922062337398529,
14,1994,,1.0665066242218018
14,1994,0.9602439403533936,
15,2127,,0.7979942560195923
15,2127,0.9066894054412842,
16,2260,,1.206613540649414
16,2260,0.9162940979003906,
17,2393,,0.7817801833152771
17,2393,0.9351876378059387,
18,2526,,1.1354714632034302
18,2526,0.9045439958572388,
19,2659,,0.7320245504379272
19,2659,0.912126898765564,
20,2792,,0.7696325778961182
20,2792,0.8991672992706299,
21,2925,,1.1245347261428833
21,2925,0.8853652477264404,
22,3058,,0.951576828956604
22,3058,0.8904219269752502,
23,3191,,0.9901288747787476
23,3191,0.8934931755065918,
24,3324,,0.9512767195701599
24,3324,0.8882501125335693,
25,3457,,0.8143174052238464
25,3457,0.8817530274391174,
26,3590,,0.9942129254341125
26,3590,0.878526508808136,
27,3723,,0.7895814776420593
27,3723,0.8450976014137268,
28,3856,,0.6280252933502197
28,3856,0.866888165473938,
29,3989,,0.8159598112106323
29,3989,0.8803850412368774,
30,4122,,1.0610532760620117
30,4122,0.8780020475387573,
31,4255,,0.9858343005180359
31,4255,0.8662353754043579,
32,4388,,0.892063558101654
32,4388,0.8439225554466248,
33,4521,,0.7313787937164307
33,4521,0.8712972402572632,
34,4654,,0.9588704109191895
34,4654,0.8590043187141418,
35,4787,,0.9685761332511902
35,4787,0.8202440738677979,
36,4920,,0.8404330015182495
36,4920,0.8772308230400085,
37,5053,,0.599157452583313
37,5053,0.8792994022369385,
38,5186,,0.6293324828147888
38,5186,0.836269736289978,
39,5319,,1.0676459074020386
39,5319,0.8749645352363586,
40,5452,,0.5494478344917297
40,5452,0.828272819519043,
41,5585,,0.8799847364425659
41,5585,0.8334208130836487,
42,5718,,0.6325516700744629
42,5718,0.8055070042610168,
43,5851,,0.8511475324630737
43,5851,0.8335581421852112,
44,5984,,0.8614113926887512
44,5984,0.84937584400177,
45,6117,,0.7808096408843994
45,6117,0.8141089677810669,
46,6250,,0.7161688804626465
46,6250,0.8326736092567444,
47,6383,,1.106266736984253
47,6383,0.815704345703125,
48,6516,,1.0319900512695312
48,6516,0.8216520547866821,
49,6649,,0.6354511976242065
49,6649,0.8522686958312988,
50,6782,,0.9168339967727661
50,6782,0.8626411557197571,
51,6915,,1.0948917865753174
51,6915,0.823787271976471,
52,7048,,0.7351616621017456
52,7048,0.8226361870765686,
53,7181,,0.9421486258506775
53,7181,0.8091834783554077,
54,7314,,0.8693674206733704
54,7314,0.8143616914749146,
55,7447,,1.0924346446990967
55,7447,0.8374226093292236,
