epoch,step,train_loss_epoch,train_loss_step
0,15,,9.572467803955078
0,15,9.968720436096191,
1,31,,8.588640213012695
1,31,8.452462196350098,
2,47,,6.826471328735352
2,47,7.465567111968994,
3,63,,6.414007186889648
3,63,6.955544948577881,
4,79,,6.124963760375977
4,79,6.538322448730469,
5,95,,6.598196029663086
5,95,6.503692150115967,
6,111,,6.557974338531494
6,111,6.453691482543945,
7,127,,6.674574375152588
7,127,6.250574588775635,
8,143,,5.636985778808594
8,143,5.923327445983887,
9,159,,5.978550910949707
9,159,5.995327949523926,
10,175,,6.038490295410156
10,175,5.770850658416748,
11,191,,5.596002101898193
11,191,5.599667549133301,
12,207,,5.18372106552124
12,207,5.5780348777771,
13,223,,4.9225006103515625
13,223,5.372953414916992,
14,239,,4.801549434661865
14,239,5.1528730392456055,
15,255,,4.841022491455078
15,255,4.926556587219238,
16,271,,4.067286014556885
16,271,4.423447608947754,
17,287,,2.9262468814849854
17,287,3.8257954120635986,
18,303,,3.155621290206909
18,303,3.262258768081665,
19,319,,2.6904478073120117
19,319,2.8600802421569824,
20,335,,2.436277389526367
20,335,2.456422805786133,
21,351,,2.1052753925323486
21,351,2.1710448265075684,
22,367,,1.7359843254089355
22,367,1.9081735610961914,
23,383,,1.762105107307434
23,383,1.7542941570281982,
24,399,,1.6763921976089478
24,399,1.5792925357818604,
25,415,,1.5229897499084473
25,415,1.4993551969528198,
26,431,,1.3801299333572388
26,431,1.3960474729537964,
27,447,,1.2828903198242188
27,447,1.3594214916229248,
28,463,,1.3888986110687256
28,463,1.3428267240524292,
29,479,,1.2700978517532349
29,479,1.2370811700820923,
30,495,,1.3348743915557861
30,495,1.2348170280456543,
31,511,,1.3247814178466797
31,511,1.2108780145645142,
32,527,,1.2157666683197021
32,527,1.1872390508651733,
33,543,,1.078256607055664
33,543,1.1878000497817993,
34,559,,1.1692450046539307
34,559,1.15056574344635,
35,575,,1.1215753555297852
35,575,1.1285326480865479,
36,591,,1.1324774026870728
36,591,1.1087390184402466,
37,607,,1.0943427085876465
37,607,1.0947827100753784,
38,623,,0.9741807579994202
38,623,1.071123480796814,
39,639,,1.0049958229064941
39,639,1.1022887229919434,
40,655,,1.1149728298187256
40,655,1.1164296865463257,
41,671,,1.190231442451477
41,671,1.1143916845321655,
42,687,,0.9879234433174133
42,687,1.0654568672180176,
43,703,,1.1077282428741455
43,703,1.0725971460342407,
44,719,,0.9904280304908752
44,719,1.054654836654663,
45,735,,1.1340539455413818
45,735,1.071248173713684,
46,751,,1.1078109741210938
46,751,1.0779080390930176,
47,767,,1.0102109909057617
47,767,1.0278911590576172,
48,783,,0.9415092468261719
48,783,1.0342381000518799,
49,799,,1.1350946426391602
49,799,0.9960370063781738,
50,815,,1.207305908203125
50,815,1.0451030731201172,
51,831,,0.8923778533935547
51,831,1.0185277462005615,
52,847,,1.0682792663574219
52,847,1.0387178659439087,
53,863,,0.8769903182983398
53,863,1.0455806255340576,
54,879,,1.0407705307006836
54,879,1.0200073719024658,
55,895,,0.9317627549171448
55,895,0.9940269589424133,
56,911,,1.056187391281128
56,911,0.9948480725288391,
57,927,,1.1090261936187744
57,927,1.0605050325393677,
58,943,,0.8866709470748901
58,943,0.9898805618286133,
59,959,,0.9762235879898071
59,959,1.0055806636810303,
60,975,,0.9137653708457947
60,975,1.0097410678863525,
61,991,,0.8398242592811584
61,991,0.9556900262832642,
62,1007,,1.0165908336639404
62,1007,0.9657984972000122,
63,1023,,1.0236736536026
63,1023,0.974816083908081,
64,1039,,1.1087141036987305
64,1039,0.9608903527259827,
65,1055,,0.8879570364952087
65,1055,0.9630061388015747,
66,1071,,0.9391814470291138
66,1071,0.9477562308311462,
67,1087,,0.9022684693336487
67,1087,0.9467572569847107,
68,1103,,1.0129656791687012
68,1103,0.9795767068862915,
69,1119,,1.0106112957000732
69,1119,0.9771170020103455,
70,1135,,1.035982608795166
70,1135,0.9702976942062378,
71,1151,,0.9280411601066589
71,1151,1.0038177967071533,
72,1167,,0.6881986856460571
72,1167,0.949805498123169,
73,1183,,0.8535417318344116
73,1183,0.9715942740440369,
74,1199,,0.8391269445419312
74,1199,0.9329944849014282,
75,1215,,0.8881988525390625
75,1215,0.943737268447876,
76,1231,,0.9308998584747314
76,1231,0.92771315574646,
77,1247,,0.9965822696685791
77,1247,0.9994361996650696,
78,1263,,0.8904733061790466
78,1263,0.9564544558525085,
79,1279,,0.941993772983551
79,1279,0.9348103404045105,
80,1295,,0.971143901348114
80,1295,0.9519896507263184,
81,1311,,0.8556681871414185
81,1311,0.9074505567550659,
82,1327,,0.9397919178009033
82,1327,0.9577320218086243,
83,1343,,0.8763446807861328
83,1343,0.9641772508621216,
84,1359,,0.9081464409828186
84,1359,0.9173250198364258,
85,1375,,1.1140398979187012
85,1375,0.9273403882980347,
86,1391,,0.9826219081878662
86,1391,0.9440696835517883,
87,1407,,0.8148772716522217
87,1407,0.9134198427200317,
88,1423,,0.9367214441299438
88,1423,0.9495565891265869,
89,1439,,0.8921473622322083
89,1439,0.9449526071548462,
90,1455,,1.0636646747589111
90,1455,0.9449380040168762,
91,1471,,0.8710323572158813
91,1471,0.9299201369285583,
92,1487,,0.8961753845214844
92,1487,0.931674063205719,
93,1503,,0.937731146812439
93,1503,0.9175534248352051,
94,1519,,0.903870701789856
94,1519,0.8952863812446594,
95,1535,,0.8864374756813049
95,1535,0.9384669065475464,
96,1551,,1.0173991918563843
96,1551,0.918389618396759,
97,1567,,0.95076984167099
97,1567,0.9276795387268066,
98,1583,,1.0337530374526978
98,1583,0.9439770579338074,
99,1599,,0.9321310520172119
99,1599,0.9459871053695679,
100,1615,,1.0711958408355713
100,1615,0.9430263042449951,
101,1631,,0.9689199328422546
101,1631,0.901653528213501,
102,1647,,1.0283451080322266
102,1647,0.9059353470802307,
103,1663,,0.9090924263000488
103,1663,0.9309948682785034,
104,1679,,0.9836844205856323
104,1679,0.926934003829956,
105,1695,,0.9267504811286926
105,1695,0.9348341226577759,
106,1711,,0.8347874283790588
106,1711,0.9176581501960754,
107,1727,,0.8903459310531616
107,1727,0.9099112153053284,
108,1743,,0.8218013644218445
108,1743,0.9274507164955139,
109,1759,,0.8973675966262817
109,1759,0.92818683385849,
110,1775,,0.9246745109558105
110,1775,0.8980636596679688,
111,1791,,0.8242166042327881
111,1791,0.8898859620094299,
112,1807,,0.9829744100570679
112,1807,0.9518508315086365,
113,1823,,0.8624110221862793
113,1823,0.8977726697921753,
114,1839,,0.8042248487472534
114,1839,0.8815690279006958,
115,1855,,0.9269555807113647
115,1855,0.9187051653862,
116,1871,,0.8572726845741272
116,1871,0.8808984756469727,
117,1887,,0.9321445226669312
117,1887,0.8816806674003601,
118,1903,,0.8670930862426758
118,1903,0.8942005038261414,
119,1919,,0.9376565217971802
119,1919,0.8989131450653076,
120,1935,,0.8610903024673462
120,1935,0.9113283753395081,
121,1951,,1.0693578720092773
121,1951,0.9272695183753967,
122,1967,,0.8790226578712463
122,1967,0.9124303460121155,
123,1983,,0.9747298359870911
123,1983,0.9119359254837036,
124,1999,,0.8515784740447998
124,1999,0.8984005451202393,
125,2015,,0.8747260570526123
125,2015,0.9081225991249084,
126,2031,,0.9064804315567017
126,2031,0.8862428069114685,
127,2047,,0.8758795857429504
127,2047,0.9112187027931213,
128,2063,,0.8561544418334961
128,2063,0.8582705855369568,
129,2079,,0.9602959156036377
129,2079,0.936741292476654,
130,2095,,0.8453344106674194
130,2095,0.870618462562561,
131,2111,,0.8226760029792786
131,2111,0.8671753406524658,
132,2127,,0.9196993708610535
132,2127,0.9116697907447815,
133,2143,,0.9043922424316406
