epoch,step,train_loss_epoch,train_loss_step
0,132,,5.931741714477539
0,132,6.985726833343506,
1,265,,2.300145149230957
1,265,4.5899577140808105,
2,398,,1.3289538621902466
2,398,1.4708919525146484,
3,531,,1.1347558498382568
3,531,1.1869574785232544,
4,664,,1.1445646286010742
4,664,1.076136827468872,
5,797,,0.4939149022102356
5,797,0.7678531408309937,
6,930,,0.366471529006958
6,930,0.4005715250968933,
7,1063,,0.32206517457962036
7,1063,0.3354334235191345,
8,1196,,0.3351123332977295
8,1196,0.31305569410324097,
9,1329,,0.26017260551452637
9,1329,0.29822975397109985,
10,1462,,0.2509571611881256
10,1462,0.2892085909843445,
11,1595,,0.3363407850265503
11,1595,0.28515830636024475,
12,1728,,0.285457581281662
12,1728,0.27611324191093445,
13,1861,,0.2594895362854004
13,1861,0.2685903012752533,
14,1994,,0.25069084763526917
14,1994,0.2607058584690094,
15,2127,,0.23433040082454681
15,2127,0.2536221742630005,
16,2260,,0.19130530953407288
16,2260,0.24194186925888062,
17,2393,,0.2761824131011963
17,2393,0.24300214648246765,
18,2526,,0.26853078603744507
18,2526,0.23030057549476624,
19,2659,,0.20634347200393677
19,2659,0.22892846167087555,
20,2792,,0.21692384779453278
20,2792,0.22064456343650818,
21,2925,,0.17078399658203125
21,2925,0.21658271551132202,
22,3058,,0.23331604897975922
22,3058,0.2082522213459015,
23,3191,,0.24390597641468048
23,3191,0.20415934920310974,
24,3324,,0.21003186702728271
24,3324,0.19819602370262146,
25,3457,,0.1711159199476242
25,3457,0.19068729877471924,
26,3590,,0.1696663647890091
26,3590,0.18834444880485535,
27,3723,,0.15464389324188232
27,3723,0.18393303453922272,
28,3856,,0.17958518862724304
28,3856,0.17528021335601807,
29,3989,,0.13757315278053284
29,3989,0.16057851910591125,
30,4122,,0.15928366780281067
30,4122,0.14967431128025055,
31,4255,,0.13073742389678955
31,4255,0.14053258299827576,
32,4388,,0.1291898638010025
32,4388,0.13713179528713226,
33,4521,,0.15740224719047546
33,4521,0.12983223795890808,
34,4654,,0.12680421769618988
34,4654,0.1275736540555954,
35,4787,,0.12277643382549286
35,4787,0.12391731142997742,
36,4920,,0.13937856256961823
36,4920,0.12233549356460571,
37,5053,,0.10292856395244598
37,5053,0.11946547031402588,
38,5186,,0.11979125440120697
38,5186,0.1180046945810318,
39,5319,,0.11018508672714233
39,5319,0.11165286600589752,
40,5452,,0.12288447469472885
40,5452,0.11407424509525299,
41,5585,,0.10866393893957138
41,5585,0.1116877943277359,
42,5718,,0.11176550388336182
42,5718,0.10734671354293823,
43,5851,,0.09166083484888077
43,5851,0.10879826545715332,
44,5984,,0.0996461883187294
44,5984,0.10747694224119186,
45,6117,,0.1249958872795105
45,6117,0.10541383922100067,
46,6250,,0.10599719732999802
46,6250,0.10382089763879776,
47,6383,,0.09263339638710022
47,6383,0.10418180376291275,
48,6516,,0.09000425040721893
48,6516,0.09992857277393341,
49,6649,,0.09572337567806244
49,6649,0.09782720357179642,
50,6782,,0.08861711621284485
50,6782,0.09830085933208466,
51,6915,,0.09932204335927963
51,6915,0.09888164699077606,
52,7048,,0.09942188858985901
52,7048,0.09668150544166565,
53,7181,,0.08844030648469925
53,7181,0.09558616578578949,
54,7314,,0.08612236380577087
54,7314,0.09497199952602386,
55,7447,,0.08685445785522461
55,7447,0.09552059322595596,
56,7580,,0.09451796114444733
56,7580,0.09045548737049103,
57,7713,,0.10771630704402924
57,7713,0.09231661260128021,
58,7846,,0.0735919326543808
58,7846,0.09062828868627548,
59,7979,,0.09275742620229721
59,7979,0.09115571528673172,
60,8112,,0.0929035022854805
60,8112,0.08962223678827286,
61,8245,,0.10923503339290619
61,8245,0.08967427164316177,
62,8378,,0.07680374383926392
62,8378,0.08844713866710663,
63,8511,,0.07881130278110504
63,8511,0.08589968085289001,
64,8644,,0.0722983181476593
